Rank,Nombre,Símbolo,Cap. de Mercado,Precio
13.0,FTCFeathercoin,FTC,"7,248,950.27",0.2067
14.0,MECMegacoin,MEC,"6,249,721.23",0.2789
15.0,XPMPrimecoin,XPM,"6,177,084.37",1.33
16.0,IFCInfinitecoin,IFC,"5,815,953.34",0.00006441
17.0,NVCNovacoin,NVC,"5,159,564.72",7.15
18.0,WDCWorldCoin,WDC,"3,885,645.43",0.08294
19.0,DASHDash,DASH,"3,637,723.80",1.03
20.0,VTCVertcoin,VTC,"3,594,547.15",1.61
1.0,BTCBitcoin,BTC,"7,958,688,082.54",636.96
2.0,LTCLitecoin,LTC,"422,618,427.47",16.00
3.0,AURAuroracoin,AUR,"278,477,073.96",26.24
4.0,XRPXRP,XRP,"115,276,632.93",0.01475
5.0,PPCPeercoin,PPC,"68,974,656.23",3.25
6.0,DOGEDogecoin,DOGE,"50,869,830.23",0.0008712
7.0,NXTNxt,NXT,"46,856,544.08",0.04686
8.0,OMNIOmni,OMNI,"39,000,554.88",62.96
9.0,NMCNamecoin,NMC,"28,155,000.39",3.42
10.0,XCPCounterparty,XCP,"14,048,900.54",5.30
11.0,QRKQuark,QRK,"10,856,809.86",0.04384
12.0,PTSBitShares PTS,PTS,"9,088,114.71",5.83
13.0,FTCFeathercoin,FTC,"7,263,207.26",0.2026
14.0,XPMPrimecoin,XPM,"6,571,089.77",1.39
15.0,IFCInfinitecoin,IFC,"6,148,624.12",0.00006807
